accountSkuId,productName
swmintl:VISIOCLIENT,VISIO ONLINE PLAN 2
swmintl:STREAM,MICROSOFT STREAM
swmintl:WIN10_VDA_E5,Windows 10 Enterprise E5
swmintl:EMSPREMIUM,ENTERPRISE MOBILITY + SECURITY E5
swmintl:MICROSOFT_REMOTE_ASSIST,MICROSOFT_REMOTE_ASSIST
swmintl:ENTERPRISEPREMIUM,OFFICE 365 E5
swmintl:WINDOWS_STORE,WINDOWS STORE FOR BUSINESS
swmintl:ENTERPRISEPACK,OFFICE 365 E3
swmintl:M365_E5_SUITE_COMPONENTS,M365_E5_SUITE_COMPONENTS
swmintl:FLOW_FREE,MICROSOFT FLOW FREE
swmintl:Win10_VDA_E3,WINDOWS 10 ENTERPRISE E3
swmintl:POWERAPPS_VIRAL,MICROSOFT POWER APPS PLAN 2 TRIAL
swmintl:POWER_BI_STANDARD,POWER BI (FREE)
swmintl:WIN_DEF_ATP,MICROSOFT DEFENDER FOR ENDPOINT
swmintl:TEAMS_EXPLORATORY,MICROSOFT TEAMS EXPLORATORY
swmintl:SPE_E5,Microsoft 365 E5
swmintl:Dyn365_Operations_Activity,Dyn365_Operations_Activity
swmintl:EMS,ENTERPRISE MOBILITY + SECURITY E3
swmintl:MCOMEETADV,Microsoft 365 Audio Conferencing
swmintl:SPE_E3,MICROSOFT 365 E3
swmintl:PROJECTPROFESSIONAL,PROJECT ONLINE PROFESSIONAL
swmintl:SPE_F1,Microsoft 365 F3
swmintl:POWERAPPS_PER_APP,POWERAPPS_PER_APP
swmintl:DYN365_ENTERPRISE_SALES,DYNAMICS 365 FOR SALES ENTERPRISE EDITION
